edgeId,dependentAssetId,dependencyAssetId,dependencyRole,impactScope,pathId,pathClass
DEP-GEN-SCN-20260611-POWER,ASSET-GEN-GPU-SCN-20260611,ASSET-GEN-UPS-SCN-20260611,power-feed,pod,PATH-GEN-SCN-20260611-POWER,POWER
DEP-GEN-SCN-20260611-COOLING,ASSET-GEN-GPU-SCN-20260611,ASSET-GEN-CHW-SCN-20260611,cooling-loop,row,PATH-GEN-SCN-20260611-COOLING,COOLING
DEP-GEN-SCN-20260611-BLAST,ASSET-GEN-DCIM-SCN-20260611,ASSET-GEN-GPU-SCN-20260611,telemetry-source,pod,PATH-GEN-SCN-20260611-BLAST,TELEMETRY
DEP-GEN-SCN-20260612-POWER,ASSET-GEN-GPU-SCN-20260612,ASSET-GEN-UPS-SCN-20260612,power-feed,pod,PATH-GEN-SCN-20260612-POWER,POWER
DEP-GEN-SCN-20260612-COOLING,ASSET-GEN-GPU-SCN-20260612,ASSET-GEN-CHW-SCN-20260612,cooling-loop,row,PATH-GEN-SCN-20260612-COOLING,COOLING
DEP-GEN-SCN-20260612-BLAST,ASSET-GEN-DCIM-SCN-20260612,ASSET-GEN-GPU-SCN-20260612,telemetry-source,pod,PATH-GEN-SCN-20260612-BLAST,TELEMETRY
DEP-GEN-SCN-20260613-POWER,ASSET-GEN-GPU-SCN-20260613,ASSET-GEN-UPS-SCN-20260613,power-feed,pod,PATH-GEN-SCN-20260613-POWER,POWER
DEP-GEN-SCN-20260613-COOLING,ASSET-GEN-GPU-SCN-20260613,ASSET-GEN-CHW-SCN-20260613,cooling-loop,row,PATH-GEN-SCN-20260613-COOLING,COOLING
DEP-GEN-SCN-20260613-BLAST,ASSET-GEN-DCIM-SCN-20260613,ASSET-GEN-GPU-SCN-20260613,telemetry-source,pod,PATH-GEN-SCN-20260613-BLAST,TELEMETRY
DEP-GEN-SCN-20260614-POWER,ASSET-GEN-GPU-SCN-20260614,ASSET-GEN-UPS-SCN-20260614,power-feed,pod,PATH-GEN-SCN-20260614-POWER,POWER
DEP-GEN-SCN-20260614-COOLING,ASSET-GEN-GPU-SCN-20260614,ASSET-GEN-CHW-SCN-20260614,cooling-loop,row,PATH-GEN-SCN-20260614-COOLING,COOLING
DEP-GEN-SCN-20260614-BLAST,ASSET-GEN-DCIM-SCN-20260614,ASSET-GEN-GPU-SCN-20260614,telemetry-source,pod,PATH-GEN-SCN-20260614-BLAST,TELEMETRY
DEP-GEN-SCN-20260615-POWER,ASSET-GEN-GPU-SCN-20260615,ASSET-GEN-UPS-SCN-20260615,power-feed,pod,PATH-GEN-SCN-20260615-POWER,POWER
DEP-GEN-SCN-20260615-COOLING,ASSET-GEN-GPU-SCN-20260615,ASSET-GEN-CHW-SCN-20260615,cooling-loop,row,PATH-GEN-SCN-20260615-COOLING,COOLING
DEP-GEN-SCN-20260615-BLAST,ASSET-GEN-DCIM-SCN-20260615,ASSET-GEN-GPU-SCN-20260615,telemetry-source,pod,PATH-GEN-SCN-20260615-BLAST,TELEMETRY
DEP-GEN-SCN-20260616-POWER,ASSET-GEN-GPU-SCN-20260616,ASSET-GEN-UPS-SCN-20260616,power-feed,pod,PATH-GEN-SCN-20260616-POWER,POWER
DEP-GEN-SCN-20260616-COOLING,ASSET-GEN-GPU-SCN-20260616,ASSET-GEN-CHW-SCN-20260616,cooling-loop,row,PATH-GEN-SCN-20260616-COOLING,COOLING
DEP-GEN-SCN-20260616-BLAST,ASSET-GEN-DCIM-SCN-20260616,ASSET-GEN-GPU-SCN-20260616,telemetry-source,pod,PATH-GEN-SCN-20260616-BLAST,TELEMETRY
DEP-GEN-SCN-20260617-POWER,ASSET-GEN-GPU-SCN-20260617,ASSET-GEN-UPS-SCN-20260617,power-feed,pod,PATH-GEN-SCN-20260617-POWER,POWER
DEP-GEN-SCN-20260617-COOLING,ASSET-GEN-GPU-SCN-20260617,ASSET-GEN-CHW-SCN-20260617,cooling-loop,row,PATH-GEN-SCN-20260617-COOLING,COOLING
DEP-GEN-SCN-20260617-BLAST,ASSET-GEN-DCIM-SCN-20260617,ASSET-GEN-GPU-SCN-20260617,telemetry-source,pod,PATH-GEN-SCN-20260617-BLAST,TELEMETRY
DEP-GEN-SCN-20260618-POWER,ASSET-GEN-GPU-SCN-20260618,ASSET-GEN-UPS-SCN-20260618,power-feed,pod,PATH-GEN-SCN-20260618-POWER,POWER
DEP-GEN-SCN-20260618-COOLING,ASSET-GEN-GPU-SCN-20260618,ASSET-GEN-CHW-SCN-20260618,cooling-loop,row,PATH-GEN-SCN-20260618-COOLING,COOLING
DEP-GEN-SCN-20260618-BLAST,ASSET-GEN-DCIM-SCN-20260618,ASSET-GEN-GPU-SCN-20260618,telemetry-source,pod,PATH-GEN-SCN-20260618-BLAST,TELEMETRY
DEP-GEN-SCN-20260619-POWER,ASSET-GEN-GPU-SCN-20260619,ASSET-GEN-UPS-SCN-20260619,power-feed,pod,PATH-GEN-SCN-20260619-POWER,POWER
DEP-GEN-SCN-20260619-COOLING,ASSET-GEN-GPU-SCN-20260619,ASSET-GEN-CHW-SCN-20260619,cooling-loop,row,PATH-GEN-SCN-20260619-COOLING,COOLING
DEP-GEN-SCN-20260619-BLAST,ASSET-GEN-DCIM-SCN-20260619,ASSET-GEN-GPU-SCN-20260619,telemetry-source,pod,PATH-GEN-SCN-20260619-BLAST,TELEMETRY
DEP-GEN-SCN-20260620-POWER,ASSET-GEN-GPU-SCN-20260620,ASSET-GEN-UPS-SCN-20260620,power-feed,pod,PATH-GEN-SCN-20260620-POWER,POWER
DEP-GEN-SCN-20260620-COOLING,ASSET-GEN-GPU-SCN-20260620,ASSET-GEN-CHW-SCN-20260620,cooling-loop,row,PATH-GEN-SCN-20260620-COOLING,COOLING
DEP-GEN-SCN-20260620-BLAST,ASSET-GEN-DCIM-SCN-20260620,ASSET-GEN-GPU-SCN-20260620,telemetry-source,pod,PATH-GEN-SCN-20260620-BLAST,TELEMETRY
DEP-GEN-SCN-20260621-POWER,ASSET-GEN-GPU-SCN-20260621,ASSET-GEN-UPS-SCN-20260621,power-feed,pod,PATH-GEN-SCN-20260621-POWER,POWER
DEP-GEN-SCN-20260621-COOLING,ASSET-GEN-GPU-SCN-20260621,ASSET-GEN-CHW-SCN-20260621,cooling-loop,row,PATH-GEN-SCN-20260621-COOLING,COOLING
DEP-GEN-SCN-20260621-BLAST,ASSET-GEN-DCIM-SCN-20260621,ASSET-GEN-GPU-SCN-20260621,telemetry-source,pod,PATH-GEN-SCN-20260621-BLAST,TELEMETRY
DEP-GEN-SCN-20260622-POWER,ASSET-GEN-GPU-SCN-20260622,ASSET-GEN-UPS-SCN-20260622,power-feed,pod,PATH-GEN-SCN-20260622-POWER,POWER
DEP-GEN-SCN-20260622-COOLING,ASSET-GEN-GPU-SCN-20260622,ASSET-GEN-CHW-SCN-20260622,cooling-loop,row,PATH-GEN-SCN-20260622-COOLING,COOLING
DEP-GEN-SCN-20260622-BLAST,ASSET-GEN-DCIM-SCN-20260622,ASSET-GEN-GPU-SCN-20260622,telemetry-source,pod,PATH-GEN-SCN-20260622-BLAST,TELEMETRY
DEP-GEN-SCN-20260623-POWER,ASSET-GEN-GPU-SCN-20260623,ASSET-GEN-UPS-SCN-20260623,power-feed,pod,PATH-GEN-SCN-20260623-POWER,POWER
DEP-GEN-SCN-20260623-COOLING,ASSET-GEN-GPU-SCN-20260623,ASSET-GEN-CHW-SCN-20260623,cooling-loop,row,PATH-GEN-SCN-20260623-COOLING,COOLING
DEP-GEN-SCN-20260623-BLAST,ASSET-GEN-DCIM-SCN-20260623,ASSET-GEN-GPU-SCN-20260623,telemetry-source,pod,PATH-GEN-SCN-20260623-BLAST,TELEMETRY
DEP-GEN-SCN-20260624-POWER,ASSET-GEN-GPU-SCN-20260624,ASSET-GEN-UPS-SCN-20260624,power-feed,pod,PATH-GEN-SCN-20260624-POWER,POWER
DEP-GEN-SCN-20260624-COOLING,ASSET-GEN-GPU-SCN-20260624,ASSET-GEN-CHW-SCN-20260624,cooling-loop,row,PATH-GEN-SCN-20260624-COOLING,COOLING
DEP-GEN-SCN-20260624-BLAST,ASSET-GEN-DCIM-SCN-20260624,ASSET-GEN-GPU-SCN-20260624,telemetry-source,pod,PATH-GEN-SCN-20260624-BLAST,TELEMETRY
DEP-GEN-SCN-20260625-POWER,ASSET-GEN-GPU-SCN-20260625,ASSET-GEN-UPS-SCN-20260625,power-feed,pod,PATH-GEN-SCN-20260625-POWER,POWER
DEP-GEN-SCN-20260625-COOLING,ASSET-GEN-GPU-SCN-20260625,ASSET-GEN-CHW-SCN-20260625,cooling-loop,row,PATH-GEN-SCN-20260625-COOLING,COOLING
DEP-GEN-SCN-20260625-BLAST,ASSET-GEN-DCIM-SCN-20260625,ASSET-GEN-GPU-SCN-20260625,telemetry-source,pod,PATH-GEN-SCN-20260625-BLAST,TELEMETRY
DEP-GEN-SCN-20260626-POWER,ASSET-GEN-GPU-SCN-20260626,ASSET-GEN-UPS-SCN-20260626,power-feed,pod,PATH-GEN-SCN-20260626-POWER,POWER
DEP-GEN-SCN-20260626-COOLING,ASSET-GEN-GPU-SCN-20260626,ASSET-GEN-CHW-SCN-20260626,cooling-loop,row,PATH-GEN-SCN-20260626-COOLING,COOLING
DEP-GEN-SCN-20260626-BLAST,ASSET-GEN-DCIM-SCN-20260626,ASSET-GEN-GPU-SCN-20260626,telemetry-source,pod,PATH-GEN-SCN-20260626-BLAST,TELEMETRY
DEP-GEN-SCN-20260627-POWER,ASSET-GEN-GPU-SCN-20260627,ASSET-GEN-UPS-SCN-20260627,power-feed,pod,PATH-GEN-SCN-20260627-POWER,POWER
DEP-GEN-SCN-20260627-COOLING,ASSET-GEN-GPU-SCN-20260627,ASSET-GEN-CHW-SCN-20260627,cooling-loop,row,PATH-GEN-SCN-20260627-COOLING,COOLING
DEP-GEN-SCN-20260627-BLAST,ASSET-GEN-DCIM-SCN-20260627,ASSET-GEN-GPU-SCN-20260627,telemetry-source,pod,PATH-GEN-SCN-20260627-BLAST,TELEMETRY
DEP-GEN-SCN-20260628-POWER,ASSET-GEN-GPU-SCN-20260628,ASSET-GEN-UPS-SCN-20260628,power-feed,pod,PATH-GEN-SCN-20260628-POWER,POWER
DEP-GEN-SCN-20260628-COOLING,ASSET-GEN-GPU-SCN-20260628,ASSET-GEN-CHW-SCN-20260628,cooling-loop,row,PATH-GEN-SCN-20260628-COOLING,COOLING
DEP-GEN-SCN-20260628-BLAST,ASSET-GEN-DCIM-SCN-20260628,ASSET-GEN-GPU-SCN-20260628,telemetry-source,pod,PATH-GEN-SCN-20260628-BLAST,TELEMETRY
DEP-GEN-SCN-20260629-POWER,ASSET-GEN-GPU-SCN-20260629,ASSET-GEN-UPS-SCN-20260629,power-feed,pod,PATH-GEN-SCN-20260629-POWER,POWER
DEP-GEN-SCN-20260629-COOLING,ASSET-GEN-GPU-SCN-20260629,ASSET-GEN-CHW-SCN-20260629,cooling-loop,row,PATH-GEN-SCN-20260629-COOLING,COOLING
DEP-GEN-SCN-20260629-BLAST,ASSET-GEN-DCIM-SCN-20260629,ASSET-GEN-GPU-SCN-20260629,telemetry-source,pod,PATH-GEN-SCN-20260629-BLAST,TELEMETRY
DEP-GEN-SCN-20260630-POWER,ASSET-GEN-GPU-SCN-20260630,ASSET-GEN-UPS-SCN-20260630,power-feed,pod,PATH-GEN-SCN-20260630-POWER,POWER
DEP-GEN-SCN-20260630-COOLING,ASSET-GEN-GPU-SCN-20260630,ASSET-GEN-CHW-SCN-20260630,cooling-loop,row,PATH-GEN-SCN-20260630-COOLING,COOLING
DEP-GEN-SCN-20260630-BLAST,ASSET-GEN-DCIM-SCN-20260630,ASSET-GEN-GPU-SCN-20260630,telemetry-source,pod,PATH-GEN-SCN-20260630-BLAST,TELEMETRY
DEP-GEN-SCN-20260631-POWER,ASSET-GEN-GPU-SCN-20260631,ASSET-GEN-UPS-SCN-20260631,power-feed,pod,PATH-GEN-SCN-20260631-POWER,POWER
DEP-GEN-SCN-20260631-COOLING,ASSET-GEN-GPU-SCN-20260631,ASSET-GEN-CHW-SCN-20260631,cooling-loop,row,PATH-GEN-SCN-20260631-COOLING,COOLING
DEP-GEN-SCN-20260631-BLAST,ASSET-GEN-DCIM-SCN-20260631,ASSET-GEN-GPU-SCN-20260631,telemetry-source,pod,PATH-GEN-SCN-20260631-BLAST,TELEMETRY
DEP-GEN-SCN-20260632-POWER,ASSET-GEN-GPU-SCN-20260632,ASSET-GEN-UPS-SCN-20260632,power-feed,pod,PATH-GEN-SCN-20260632-POWER,POWER
DEP-GEN-SCN-20260632-COOLING,ASSET-GEN-GPU-SCN-20260632,ASSET-GEN-CHW-SCN-20260632,cooling-loop,row,PATH-GEN-SCN-20260632-COOLING,COOLING
DEP-GEN-SCN-20260632-BLAST,ASSET-GEN-DCIM-SCN-20260632,ASSET-GEN-GPU-SCN-20260632,telemetry-source,pod,PATH-GEN-SCN-20260632-BLAST,TELEMETRY
DEP-GEN-SCN-20260633-POWER,ASSET-GEN-GPU-SCN-20260633,ASSET-GEN-UPS-SCN-20260633,power-feed,pod,PATH-GEN-SCN-20260633-POWER,POWER
DEP-GEN-SCN-20260633-COOLING,ASSET-GEN-GPU-SCN-20260633,ASSET-GEN-CHW-SCN-20260633,cooling-loop,row,PATH-GEN-SCN-20260633-COOLING,COOLING
DEP-GEN-SCN-20260633-BLAST,ASSET-GEN-DCIM-SCN-20260633,ASSET-GEN-GPU-SCN-20260633,telemetry-source,pod,PATH-GEN-SCN-20260633-BLAST,TELEMETRY
DEP-GEN-SCN-20260634-POWER,ASSET-GEN-GPU-SCN-20260634,ASSET-GEN-UPS-SCN-20260634,power-feed,pod,PATH-GEN-SCN-20260634-POWER,POWER
DEP-GEN-SCN-20260634-COOLING,ASSET-GEN-GPU-SCN-20260634,ASSET-GEN-CHW-SCN-20260634,cooling-loop,row,PATH-GEN-SCN-20260634-COOLING,COOLING
DEP-GEN-SCN-20260634-BLAST,ASSET-GEN-DCIM-SCN-20260634,ASSET-GEN-GPU-SCN-20260634,telemetry-source,pod,PATH-GEN-SCN-20260634-BLAST,TELEMETRY
DEP-GEN-SCN-20260635-POWER,ASSET-GEN-GPU-SCN-20260635,ASSET-GEN-UPS-SCN-20260635,power-feed,pod,PATH-GEN-SCN-20260635-POWER,POWER
DEP-GEN-SCN-20260635-COOLING,ASSET-GEN-GPU-SCN-20260635,ASSET-GEN-CHW-SCN-20260635,cooling-loop,row,PATH-GEN-SCN-20260635-COOLING,COOLING
DEP-GEN-SCN-20260635-BLAST,ASSET-GEN-DCIM-SCN-20260635,ASSET-GEN-GPU-SCN-20260635,telemetry-source,pod,PATH-GEN-SCN-20260635-BLAST,TELEMETRY
DEP-GEN-SCN-20260636-POWER,ASSET-GEN-GPU-SCN-20260636,ASSET-GEN-UPS-SCN-20260636,power-feed,pod,PATH-GEN-SCN-20260636-POWER,POWER
DEP-GEN-SCN-20260636-COOLING,ASSET-GEN-GPU-SCN-20260636,ASSET-GEN-CHW-SCN-20260636,cooling-loop,row,PATH-GEN-SCN-20260636-COOLING,COOLING
DEP-GEN-SCN-20260636-BLAST,ASSET-GEN-DCIM-SCN-20260636,ASSET-GEN-GPU-SCN-20260636,telemetry-source,pod,PATH-GEN-SCN-20260636-BLAST,TELEMETRY
DEP-GEN-SCN-20260637-POWER,ASSET-GEN-GPU-SCN-20260637,ASSET-GEN-UPS-SCN-20260637,power-feed,pod,PATH-GEN-SCN-20260637-POWER,POWER
DEP-GEN-SCN-20260637-COOLING,ASSET-GEN-GPU-SCN-20260637,ASSET-GEN-CHW-SCN-20260637,cooling-loop,row,PATH-GEN-SCN-20260637-COOLING,COOLING
DEP-GEN-SCN-20260637-BLAST,ASSET-GEN-DCIM-SCN-20260637,ASSET-GEN-GPU-SCN-20260637,telemetry-source,pod,PATH-GEN-SCN-20260637-BLAST,TELEMETRY
